X,Y,Z,Qw,Qx,Qy,Qz
-155.75,-168.83,24.94,0.81,0.87,-3.87,-1.89
-20.87,-117.33,163.35,1.24,2.4,-1.93,2.32
-18.08,9.11,173.68,1.14,2.57,-1.97,2.06
141.6,-109.01,11.17,3.32,-1.67,0.38,-1
141.38,-57.74,12.25,3.34,-1.73,0.38,-1.05
-69.63,93.44,144.05,0.86,0.55,-0.39,1.42
38.04,-160.78,-151.38,2.46,3.23,0.41,-3.69
-34.65,58.99,-174.68,3.11,3.3,3.27,-4.85
33.03,50.6,-193.85,2.11,2.76,3.05,-1.58
24.33,60.59,-243.44,2.82,2.23,2.79,-2.46
102.52,-32.09,145.42,1.97,-4.45,-1.18,-2.38
141.3,44.13,-96.03,2.56,-4.51,0.07,1.86
-124.53,-62.79,-108.31,-1.25,1.91,-2.85,-4.77
27.15,-191.06,151.13,1.21,4.41,-2.55,2.83
-161.1,-37.7,73.58,0.37,0.87,-3.68,2.11
152.09,-67.3,-75.01,3.09,4.91,0.67,-1.5
-156.21,-46.27,-81.11,-1.21,-0.69,-2.26,4.98
-121.94,-89.16,-120.88,-0.8,-0.59,-0.93,2.53
50.23,81.25,185.96,-4.73,2.92,4,1.66
69.26,-15.11,186.52,-4.3,2.4,3.18,1.21
