obj,planner,starting_pose,goal_pose,env,result,run_time,started from start_pose
Cube,RRT,0,0,0,True,0.3449230000000001,True
Cube,RRT,1,0,0,True,0.4568540000000003,True
Cube,RRT,2,0,0,True,0.47409699999999955,True
Cube,RRT,3,0,0,True,0.49550800000000006,True
Cube,RRT,4,0,0,True,0.38177700000000137,True
Cube,RRT,5,0,0,True,0.41732999999999976,True
Cube,RRT,6,0,0,True,0.40522099999999917,True
Cube,RRT,7,0,0,True,0.4583849999999998,True
Cube,RRT,8,0,0,True,0.3832310000000003,True
Cube,RRT,9,0,0,True,0.5491789999999988,True
Cube,RRT,0,1,0,False,0.16115700000000288,True
Cube,RRT,1,1,0,False,0.16399799999999942,True
Cube,RRT,2,1,0,False,0.15294000000000096,True
Cube,RRT,3,1,0,False,0.16097500000000053,True
Cube,RRT,4,1,0,False,0.17803299999999922,True
Cube,RRT,5,1,0,False,0.16284999999999883,True
Cube,RRT,6,1,0,False,0.15080700000000036,True
Cube,RRT,7,1,0,False,0.1758419999999994,True
Cube,RRT,8,1,0,False,0.15954200000000185,True
Cube,RRT,9,1,0,False,0.15713799999999978,True
Cube,RRT,0,2,0,True,0.4842839999999988,True
Cube,RRT,1,2,0,True,0.5189249999999994,True
Cube,RRT,2,2,0,True,0.47503400000000084,True
Cube,RRT,3,2,0,True,0.4939189999999982,True
Cube,RRT,4,2,0,True,0.43373000000000417,True
Cube,RRT,5,2,0,True,0.5986180000000019,True
Cube,RRT,6,2,0,True,0.4504889999999975,True
Cube,RRT,7,2,0,True,0.3488669999999985,True
Cube,RRT,8,2,0,True,0.6041729999999959,True
Cube,RRT,9,2,0,True,0.5317390000000017,True
Cube,RRT,0,3,0,True,0.6200109999999981,True
Cube,RRT,1,3,0,True,0.5210099999999969,True
Cube,RRT,2,3,0,True,0.650890000000004,True
Cube,RRT,3,3,0,True,0.45237800000000306,True
Cube,RRT,4,3,0,True,0.36412200000000183,True
Cube,RRT,5,3,0,True,0.5880349999999979,True
Cube,RRT,6,3,0,True,0.4239160000000055,True
Cube,RRT,7,3,0,True,0.6216689999999971,True
Cube,RRT,8,3,0,True,0.5718539999999876,True
Cube,RRT,9,3,0,True,0.3941790000000083,True
Cube,RRT,0,4,0,True,0.63111099999999,True
Cube,RRT,1,4,0,True,0.6104199999999906,True
Cube,RRT,2,4,0,True,0.44961000000000695,True
Cube,RRT,3,4,0,True,0.43044100000000185,True
Cube,RRT,4,4,0,True,0.6205690000000033,True
Cube,RRT,5,4,0,True,0.340958999999998,True
Cube,RRT,6,4,0,True,0.4977220000000102,True
Cube,RRT,7,4,0,True,0.48806100000000185,True
Cube,RRT,8,4,0,True,0.6062530000000095,True
Cube,RRT,9,4,0,True,0.40015400000000056,True
Cube,RRT,0,5,0,False,0.1581509999999895,True
Cube,RRT,1,5,0,False,0.15859199999999873,True
Cube,RRT,2,5,0,False,0.15416600000000358,True
Cube,RRT,3,5,0,False,0.16971599999999398,True
Cube,RRT,4,5,0,False,0.15398299999999665,True
Cube,RRT,5,5,0,False,0.152709999999999,True
Cube,RRT,6,5,0,False,0.16426900000000444,True
Cube,RRT,7,5,0,False,0.1604329999999976,True
Cube,RRT,8,5,0,False,0.15177799999999309,True
Cube,RRT,9,5,0,False,0.1563459999999992,True
Cube,RRT,0,6,0,False,0.19152700000000777,True
Cube,RRT,1,6,0,False,0.16048000000000684,True
Cube,RRT,2,6,0,False,0.15129000000000303,True
Cube,RRT,3,6,0,False,0.16379600000000494,True
Cube,RRT,4,6,0,False,0.15678700000000845,True
Cube,RRT,5,6,0,False,0.1593079999999958,True
Cube,RRT,6,6,0,False,0.16733499999999424,True
Cube,RRT,7,6,0,False,0.15411100000000033,True
Cube,RRT,8,6,0,False,0.1589000000000027,True
Cube,RRT,9,6,0,False,0.15640700000000152,True
Cube,RRT,0,7,0,False,0.1561800000000062,True
Cube,RRT,1,7,0,False,0.1597810000000095,True
Cube,RRT,2,7,0,False,0.16257199999999727,True
Cube,RRT,3,7,0,False,0.1679990000000089,True
Cube,RRT,4,7,0,False,0.156415999999993,True
Cube,RRT,5,7,0,False,0.1632589999999965,True
Cube,RRT,6,7,0,False,0.16163500000000397,True
Cube,RRT,7,7,0,False,0.16289299999999685,True
Cube,RRT,8,7,0,False,0.17950500000000602,True
Cube,RRT,9,7,0,False,0.15678299999999012,True
Cube,RRT,0,8,0,False,0.1613009999999946,True
Cube,RRT,1,8,0,False,0.15905600000000675,True
Cube,RRT,2,8,0,False,0.1583959999999962,True
Cube,RRT,3,8,0,False,0.15853899999999044,True
Cube,RRT,4,8,0,False,0.17246500000000253,True
Cube,RRT,5,8,0,False,0.15864100000000292,True
Cube,RRT,6,8,0,False,0.16102999999999668,True
Cube,RRT,7,8,0,False,0.16522700000000157,True
Cube,RRT,8,8,0,False,0.1603500000000082,True
Cube,RRT,9,8,0,False,0.1631190000000089,True
Cube,RRT,0,9,0,False,0.15451000000000192,True
Cube,RRT,1,9,0,False,0.16107099999999264,True
Cube,RRT,2,9,0,False,0.16200900000001184,True
Cube,RRT,3,9,0,False,0.16070299999999804,True
Cube,RRT,4,9,0,False,0.15945299999999918,True
Cube,RRT,5,9,0,False,0.1550320000000056,True
Cube,RRT,6,9,0,False,0.15804699999998206,True
Cube,RRT,7,9,0,False,0.17670100000000843,True
Cube,RRT,8,9,0,False,0.16161700000000678,True
Cube,RRT,9,9,0,False,0.1547130000000152,True
Cube,RRT,0,0,1,True,0.4541580000000067,True
Cube,RRT,1,0,1,True,0.5003930000000025,True
Cube,RRT,2,0,1,True,0.3901130000000137,True
Cube,RRT,3,0,1,True,0.49533700000000636,True
Cube,RRT,4,0,1,True,0.42801800000000867,True
Cube,RRT,5,0,1,True,0.5089770000000158,True
Cube,RRT,6,0,1,True,0.48512199999998984,True
Cube,RRT,7,0,1,True,0.6919719999999927,True
Cube,RRT,8,0,1,True,0.5377710000000206,True
Cube,RRT,9,0,1,True,0.48582799999999793,True
Cube,RRT,0,1,1,False,0.16452400000000011,True
Cube,RRT,1,1,1,False,0.15069700000000807,True
Cube,RRT,2,1,1,False,0.17284100000000535,True
Cube,RRT,3,1,1,False,0.15116700000001515,True
Cube,RRT,4,1,1,False,0.17089100000001167,True
Cube,RRT,5,1,1,False,0.15522799999999393,True
Cube,RRT,6,1,1,False,0.16097999999999502,True
Cube,RRT,7,1,1,False,0.17265300000002526,True
Cube,RRT,8,1,1,False,0.15202800000000138,True
Cube,RRT,9,1,1,False,0.15227100000001315,True
Cube,RRT,0,2,1,False,0.16576599999999075,True
Cube,RRT,1,2,1,False,0.1610600000000204,True
Cube,RRT,2,2,1,False,0.16187999999999647,True
Cube,RRT,3,2,1,False,0.16218399999999633,True
Cube,RRT,4,2,1,False,0.15623800000000188,True
Cube,RRT,5,2,1,False,0.18878599999999324,True
Cube,RRT,6,2,1,False,0.16873499999999808,True
Cube,RRT,7,2,1,False,0.15557999999998628,True
Cube,RRT,8,2,1,False,0.15814499999999043,True
Cube,RRT,9,2,1,False,0.1417780000000164,True
Cube,RRT,0,3,1,False,0.1555789999999888,True
Cube,RRT,1,3,1,False,0.16271700000001488,True
Cube,RRT,2,3,1,False,0.16093600000002084,True
Cube,RRT,3,3,1,False,0.15769900000000803,True
Cube,RRT,4,3,1,False,0.16149599999999964,True
Cube,RRT,5,3,1,False,0.15831399999999007,True
Cube,RRT,6,3,1,False,0.1536220000000128,True
Cube,RRT,7,3,1,False,0.16963400000000206,True
Cube,RRT,8,3,1,False,0.18135300000000143,True
Cube,RRT,9,3,1,False,0.15721599999997693,True
Cube,RRT,0,4,1,False,0.15868799999998373,True
Cube,RRT,1,4,1,False,0.1645730000000185,True
Cube,RRT,2,4,1,False,0.16401400000000876,True
Cube,RRT,3,4,1,False,0.16125400000001378,True
Cube,RRT,4,4,1,False,0.16527099999998995,True
Cube,RRT,5,4,1,False,0.16024400000000583,True
Cube,RRT,6,4,1,False,0.15453999999999724,True
Cube,RRT,7,4,1,False,0.16441799999998352,True
Cube,RRT,8,4,1,False,0.15907199999998056,True
Cube,RRT,9,4,1,False,0.15981699999997545,True
Cube,RRT,0,5,1,False,0.1589580000000126,True
Cube,RRT,1,5,1,False,0.16175399999997353,True
Cube,RRT,2,5,1,False,0.15776400000001445,True
Cube,RRT,3,5,1,False,0.1596129999999789,True
Cube,RRT,4,5,1,False,0.16363099999998099,True
Cube,RRT,5,5,1,False,0.15407299999998258,True
Cube,RRT,6,5,1,False,0.15901300000001584,True
Cube,RRT,7,5,1,False,0.15792999999999324,True
Cube,RRT,8,5,1,False,0.16411500000000956,True
Cube,RRT,9,5,1,False,0.15149100000002136,True
Cube,RRT,0,6,1,False,0.16408400000000256,True
Cube,RRT,1,6,1,False,0.18231300000002193,True
Cube,RRT,2,6,1,False,0.16050599999999804,True
Cube,RRT,3,6,1,False,0.16328599999999938,True
Cube,RRT,4,6,1,False,0.16558200000000056,True
Cube,RRT,5,6,1,False,0.1475889999999822,True
Cube,RRT,6,6,1,False,0.16543300000000727,True
Cube,RRT,7,6,1,False,0.16767199999998184,True
Cube,RRT,8,6,1,False,0.16982000000001563,True
Cube,RRT,9,6,1,False,0.1608799999999917,True
Cube,RRT,0,7,1,False,0.16274100000001113,True
Cube,RRT,1,7,1,False,0.1638770000000136,True
Cube,RRT,2,7,1,False,0.1557899999999961,True
Cube,RRT,3,7,1,False,0.16652000000001976,True
Cube,RRT,4,7,1,False,0.16008500000000936,True
Cube,RRT,5,7,1,False,0.1604159999999979,True
Cube,RRT,6,7,1,False,0.16287900000000377,True
Cube,RRT,7,7,1,False,0.16211999999998739,True
Cube,RRT,8,7,1,False,0.15950200000000336,True
Cube,RRT,9,7,1,False,0.16341600000001222,True
Cube,RRT,0,8,1,False,0.16353300000000104,True
Cube,RRT,1,8,1,False,0.15682599999999525,True
Cube,RRT,2,8,1,False,0.1628509999999892,True
Cube,RRT,3,8,1,False,0.15455299999999284,True
Cube,RRT,4,8,1,False,0.15710999999998876,True
Cube,RRT,5,8,1,False,0.16492300000001592,True
Cube,RRT,6,8,1,False,0.16192399999999907,True
Cube,RRT,7,8,1,False,0.1624879999999962,True
Cube,RRT,8,8,1,False,0.15576100000001247,True
Cube,RRT,9,8,1,False,0.16420999999999708,True
Cube,RRT,0,9,1,False,0.15987799999999197,True
Cube,RRT,1,9,1,False,0.15709700000002158,True
Cube,RRT,2,9,1,False,0.15816499999999678,True
Cube,RRT,3,9,1,False,0.15509499999998866,True
Cube,RRT,4,9,1,False,0.16121400000000108,True
Cube,RRT,5,9,1,False,0.16418799999999578,True
Cube,RRT,6,9,1,False,0.15192099999998732,True
Cube,RRT,7,9,1,False,0.15179200000000037,True
Cube,RRT,8,9,1,False,0.15737800000002267,True
Cube,RRT,9,9,1,False,0.1648619999999994,True
Cube,RRT,0,0,2,False,0.15635000000000332,True
Cube,RRT,1,0,2,False,0.15907599999999888,True
Cube,RRT,2,0,2,False,0.1750870000000191,True
Cube,RRT,3,0,2,False,0.16709699999998406,True
Cube,RRT,4,0,2,False,0.16128799999998478,True
Cube,RRT,5,0,2,False,0.15613700000000108,True
Cube,RRT,6,0,2,False,0.15205500000001848,True
Cube,RRT,7,0,2,False,0.1635270000000162,True
Cube,RRT,8,0,2,False,0.15356199999999376,True
Cube,RRT,9,0,2,False,0.15156200000001263,True
Cube,RRT,0,1,2,False,0.15751800000001026,True
Cube,RRT,1,1,2,False,0.15779399999999555,True
Cube,RRT,2,1,2,False,0.16430199999999218,True
Cube,RRT,3,1,2,False,0.15569499999998015,True
Cube,RRT,4,1,2,False,0.15287000000000717,True
Cube,RRT,5,1,2,False,0.14837199999999484,True
Cube,RRT,6,1,2,False,0.14625199999997562,True
Cube,RRT,7,1,2,False,0.18440499999999815,True
Cube,RRT,8,1,2,False,0.1595010000000059,True
Cube,RRT,9,1,2,False,0.15728699999999662,True
Cube,RRT,0,2,2,False,0.15732399999998847,True
Cube,RRT,1,2,2,False,0.16148000000001161,True
Cube,RRT,2,2,2,False,0.15534600000000864,True
Cube,RRT,3,2,2,False,0.15560700000000338,True
Cube,RRT,4,2,2,False,0.15461800000002768,True
Cube,RRT,5,2,2,False,0.15804000000002816,True
Cube,RRT,6,2,2,False,0.16569600000002538,True
Cube,RRT,7,2,2,False,0.15296200000000226,True
Cube,RRT,8,2,2,False,0.15716100000003053,True
Cube,RRT,9,2,2,False,0.1570639999999912,True
Cube,RRT,0,3,2,False,0.1563719999999762,True
Cube,RRT,1,3,2,False,0.15671400000002222,True
Cube,RRT,2,3,2,False,0.15600200000000086,True
Cube,RRT,3,3,2,False,0.15661399999999048,True
Cube,RRT,4,3,2,False,0.16976600000003828,True
Cube,RRT,5,3,2,False,0.15619600000002265,True
Cube,RRT,6,3,2,False,0.1590150000000108,True
Cube,RRT,7,3,2,False,0.1607829999999808,True
Cube,RRT,8,3,2,False,0.1644279999999867,True
Cube,RRT,9,3,2,False,0.1644099999999753,True
Cube,RRT,0,4,2,False,0.15504700000002458,True
Cube,RRT,1,4,2,False,0.16537699999997812,True
Cube,RRT,2,4,2,False,0.1542540000000372,True
Cube,RRT,3,4,2,False,0.15932500000002392,True
Cube,RRT,4,4,2,False,0.15182900000002064,True
Cube,RRT,5,4,2,False,0.161878999999999,True
Cube,RRT,6,4,2,False,0.15542900000002646,True
Cube,RRT,7,4,2,False,0.15668199999998933,True
Cube,RRT,8,4,2,False,0.1603820000000269,True
Cube,RRT,9,4,2,False,0.15756700000002866,True
Cube,RRT,0,5,2,False,0.15289699999999584,True
Cube,RRT,1,5,2,False,0.15639699999996992,True
Cube,RRT,2,5,2,False,0.15705199999996466,True
Cube,RRT,3,5,2,False,0.15611900000004653,True
Cube,RRT,4,5,2,False,0.16149899999999207,True
Cube,RRT,5,5,2,False,0.15766399999995429,True
Cube,RRT,6,5,2,False,0.163770999999997,True
Cube,RRT,7,5,2,False,0.15684200000004012,True
Cube,RRT,8,5,2,False,0.15420499999999038,True
Cube,RRT,9,5,2,False,0.16345899999998892,True
Cube,RRT,0,6,2,True,0.8400340000000028,True
Cube,RRT,1,6,2,True,0.6695350000000531,False
Cube,RRT,2,6,2,True,0.7138029999999844,True
Cube,RRT,3,6,2,True,0.6806950000000143,True
Cube,RRT,4,6,2,True,0.5499099999999544,True
Cube,RRT,5,6,2,True,0.7916270000000054,False
Cube,RRT,6,6,2,True,0.8175640000000044,True
Cube,RRT,7,6,2,True,0.8123860000000036,True
Cube,RRT,8,6,2,True,0.641760999999974,True
Cube,RRT,9,6,2,True,0.534829000000002,True
Cube,RRT,0,7,2,True,0.8472790000000145,True
Cube,RRT,1,7,2,True,0.8311889999999948,True
Cube,RRT,2,7,2,True,0.6602100000000064,True
Cube,RRT,3,7,2,True,1.0733409999999708,True
Cube,RRT,4,7,2,True,0.15363000000002103,False
Cube,RRT,5,7,2,True,0.929491999999982,True
Cube,RRT,6,7,2,True,0.7060139999999819,True
Cube,RRT,7,7,2,True,0.6851010000000315,True
Cube,RRT,8,7,2,True,0.909924999999987,True
Cube,RRT,9,7,2,True,0.791938000000016,True
Cube,RRT,0,8,2,False,0.16396400000002131,True
Cube,RRT,1,8,2,False,0.16546299999998837,True
Cube,RRT,2,8,2,False,0.16093100000000504,True
Cube,RRT,3,8,2,False,0.14693700000003673,True
Cube,RRT,4,8,2,False,0.16136000000000195,True
Cube,RRT,5,8,2,False,0.1588249999999789,True
Cube,RRT,6,8,2,False,0.15052600000001348,True
Cube,RRT,7,8,2,False,0.15955999999999904,True
Cube,RRT,8,8,2,False,0.15415400000000545,True
Cube,RRT,9,8,2,False,0.14642000000003463,True
Cube,RRT,0,9,2,False,0.20554799999996476,True
Cube,RRT,1,9,2,False,0.15670399999999063,True
Cube,RRT,2,9,2,False,0.16223500000000968,True
Cube,RRT,3,9,2,False,0.14668100000000095,True
Cube,RRT,4,9,2,False,0.16170700000003535,True
Cube,RRT,5,9,2,False,0.15772500000002765,True
Cube,RRT,6,9,2,False,0.15824100000003227,True
